C,l1_ratio,inner_macro,inner_p10,repeat,fold
1.0,1.0,0.5764294996751137,0.5268518518518518,1,0
1.0,0.25,0.5726120857699805,0.560233918128655,1,0
1.0,0.5,0.5520630279402209,0.5157407407407407,1,0
0.3,0.25,0.5354938271604938,0.5074074074074074,1,0
0.3,0.5,0.5281838856400259,0.4962962962962963,1,0
0.1,0.25,0.5018680961663416,0.48781676413255365,1,0
0.3,0.75,0.47360298895386616,0.44074074074074077,1,0
0.3,1.0,0.44371345029239767,0.43333333333333335,1,0
0.1,0.5,0.4243827160493827,0.3768518518518518,1,0
0.1,0.75,0.07407407407407407,0.0,1,0
0.03,0.25,0.0,0.0,1,0
0.03,0.5,0.0,0.0,1,0
0.03,0.75,0.0,0.0,1,0
0.03,1.0,0.0,0.0,1,0
0.1,1.0,0.0,0.0,1,0
1.0,0.25,0.6752360203340594,0.637037037037037,1,1
1.0,1.0,0.641957153231663,0.5975490196078431,1,1
0.3,0.25,0.6353304284676834,0.6215686274509803,1,1
1.0,0.75,0.6084059549745824,0.5587037037037037,1,1
1.0,0.5,0.6007806826434278,0.5537037037037037,1,1
0.1,0.25,0.5904320987654321,0.5359259259259259,1,1
0.3,0.75,0.5850399419026869,0.5554684095860566,1,1
0.3,0.5,0.583315177923021,0.5238779956427014,1,1
0.3,1.0,0.5628177196804648,0.5296514161220044,1,1
0.1,0.5,0.5045570079883804,0.4399564270152505,1,1
0.1,0.75,0.05482933914306463,0.007407407407407408,1,1
0.03,0.25,0.0,0.0,1,1
0.03,0.5,0.0,0.0,1,1
0.03,0.75,0.0,0.0,1,1
0.03,1.0,0.0,0.0,1,1
0.1,1.0,0.0,0.0,1,1
0.03,0.75,0.6666666666666666,0.2,1,2
0.03,1.0,0.6666666666666666,0.2,1,2
1.0,1.0,0.4799220272904483,0.3923976608187134,1,2
1.0,0.5,0.47115009746588693,0.38713450292397655,1,2
0.3,1.0,0.4693632228719948,0.42202729044834303,1,2
1.0,0.75,0.45360623781676407,0.37660818713450284,1,2
1.0,0.25,0.4493502274204029,0.34961013645224176,1,2
0.3,0.25,0.42891487979207277,0.3617933723196881,1,2
0.3,0.5,0.4016244314489928,0.3120857699805068,1,2
0.1,0.5,0.4014619883040936,0.3730994152046784,1,2
0.3,0.75,0.3998375568551007,0.34405458089668617,1,2
0.1,0.25,0.3809941520467836,0.2719298245614035,1,2
0.03,0.25,0.3333333333333333,0.0,1,2
0.03,0.5,0.3333333333333333,0.0,1,2
0.1,1.0,0.3333333333333333,0.0,1,2
0.1,0.75,0.23391812865497078,0.0,1,2
0.3,0.25,0.5374269005847953,0.42157894736842105,1,3
1.0,0.25,0.5232943469785575,0.4630994152046783,1,3
0.3,0.5,0.5152046783625731,0.42929824561403507,1,3
0.3,0.75,0.5142300194931774,0.4392397660818713,1,3
1.0,0.5,0.5133528265107211,0.44923976608187133,1,3
0.1,0.25,0.49298245614035086,0.4159649122807017,1,3
0.3,1.0,0.4879142300194932,0.41818713450292394,1,3
0.1,0.5,0.48547758284600384,0.4368421052631579,1,3
1.0,1.0,0.4799220272904483,0.4657894736842105,1,3
1.0,0.75,0.4412280701754386,0.40596491228070175,1,3
0.1,0.75,0.4000000000000001,0.21192982456140352,1,3
0.03,0.25,0.043859649122807015,0.0,1,3
0.03,0.5,0.0,0.0,1,3
0.03,0.75,0.0,0.0,1,3
0.03,1.0,0.0,0.0,1,3
0.1,1.0,0.0,0.0,1,3
0.03,0.25,1.0,1.0,1,4
0.03,0.5,1.0,1.0,1,4
0.03,0.75,1.0,1.0,1,4
0.1,1.0,1.0,1.0,1,4
