C,inner_balanced_macro,inner_p10,repeat,fold,model
3.0,0.5516636141636142,0.43141025641025643,2,1,TG10_SHARED_RIDGE_BALANCED
0.3,0.5516520516520517,0.4715589965589965,2,1,TG10_SHARED_RIDGE_BALANCED
0.1,0.5368474118474119,0.5025113775113775,2,1,TG10_SHARED_RIDGE_BALANCED
0.01,0.5234441484441484,0.46878121878121876,2,1,TG10_SHARED_RIDGE_BALANCED
0.003,0.5169506419506419,0.432989232989233,2,1,TG10_SHARED_RIDGE_BALANCED
3.0,0.6672822547822547,0.5907692307692307,2,1,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
1.0,0.6046740296740297,0.5203996003996003,2,1,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.03,0.5749606874606875,0.5078177378177379,2,1,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.1,0.5748589373589373,0.4732023532023532,2,1,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.3,0.5472499722499723,0.48328282828282826,2,1,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.01,0.5279812779812779,0.4596459096459096,2,1,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.003,0.5257890257890258,0.4542013542013542,2,1,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
3.0,0.6457336904133243,0.601731712223703,2,2,TG10_SHARED_RIDGE_BALANCED
1.0,0.6397282224513345,0.6016998600179378,2,2,TG10_SHARED_RIDGE_BALANCED
0.3,0.6262249128953935,0.5846765324682945,2,2,TG10_SHARED_RIDGE_BALANCED
0.1,0.5879023785774358,0.5639000930419694,2,2,TG10_SHARED_RIDGE_BALANCED
0.03,0.5541788557234781,0.49158121055146226,2,2,TG10_SHARED_RIDGE_BALANCED
0.01,0.5490255739683657,0.482847419552225,2,2,TG10_SHARED_RIDGE_BALANCED
0.003,0.5297948047375964,0.4366935733983789,2,2,TG10_SHARED_RIDGE_BALANCED
3.0,0.7079219788601939,0.6050009639483324,2,2,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
1.0,0.6762325266901925,0.5548660111818006,2,2,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.1,0.6398504622760915,0.5844944300550708,2,2,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.3,0.6367979592235885,0.540721536282177,2,2,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.03,0.5938682641199804,0.552599559098415,2,2,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.003,0.5508371681712642,0.48719524563918154,2,2,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.01,0.5396225373914161,0.4698039412913555,2,2,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.1,0.5386379363496068,0.4322877707088233,2,3,TG10_SHARED_RIDGE_BALANCED
0.01,0.5360758361902526,0.4408013623803097,2,3,TG10_SHARED_RIDGE_BALANCED
3.0,0.5359202772818333,0.49938435833172673,2,3,TG10_SHARED_RIDGE_BALANCED
1.0,0.5248091661707223,0.47361801940749315,2,3,TG10_SHARED_RIDGE_BALANCED
0.03,0.5237384151571794,0.41977572135466873,2,3,TG10_SHARED_RIDGE_BALANCED
0.003,0.5192529819532109,0.4234078786710366,2,3,TG10_SHARED_RIDGE_BALANCED
0.3,0.5190716013370476,0.4345067797699377,2,3,TG10_SHARED_RIDGE_BALANCED
3.0,0.6399294874123249,0.5920722095092803,2,3,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
1.0,0.5548600225945762,0.4757538774472413,2,3,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.03,0.5209950973680951,0.46524516419253265,2,3,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.3,0.5184400987604648,0.43403380245485507,2,3,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.003,0.5127657493790218,0.4453126405757985,2,3,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.1,0.5110366263112258,0.46517798118484616,2,3,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.01,0.5040749635143228,0.43780348306664096,2,3,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.3,0.5930826118326119,0.5592424242424243,2,4,TG10_SHARED_RIDGE_BALANCED
0.1,0.5875992063492064,0.5733333333333334,2,4,TG10_SHARED_RIDGE_BALANCED
1.0,0.5831619769119769,0.5247186147186147,2,4,TG10_SHARED_RIDGE_BALANCED
3.0,0.5688762626262627,0.5318614718614718,2,4,TG10_SHARED_RIDGE_BALANCED
0.01,0.5504419191919192,0.5192261904761905,2,4,TG10_SHARED_RIDGE_BALANCED
0.003,0.5470328282828282,0.5148268398268397,2,4,TG10_SHARED_RIDGE_BALANCED
0.03,0.5434072871572871,0.5222943722943723,2,4,TG10_SHARED_RIDGE_BALANCED
3.0,0.7034271284271284,0.650952380952381,2,4,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
1.0,0.6706228956228957,0.5979365079365079,2,4,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.1,0.625093193843194,0.5856349206349206,2,4,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.03,0.6186177248677248,0.5611706349206349,2,4,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.3,0.6177609427609427,0.5487301587301588,2,4,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.01,0.5629058441558442,0.521969696969697,2,4,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.003,0.5585768398268398,0.5193722943722944,2,4,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
3.0,0.607819264069264,0.5526785714285715,3,0,TG10_SHARED_RIDGE_BALANCED
1.0,0.5963476399331663,0.5316807644110276,3,0,TG10_SHARED_RIDGE_BALANCED
0.3,0.588828842940685,0.5422070802005013,3,0,TG10_SHARED_RIDGE_BALANCED
0.03,0.5790964943925471,0.5621269081795397,3,0,TG10_SHARED_RIDGE_BALANCED
0.1,0.5785474576592998,0.546373746867168,3,0,TG10_SHARED_RIDGE_BALANCED
0.01,0.5671917324877852,0.5442697653223969,3,0,TG10_SHARED_RIDGE_BALANCED
0.003,0.5667087542087542,0.5202200577200576,3,0,TG10_SHARED_RIDGE_BALANCED
3.0,0.6950765486949697,0.6209690893901421,3,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
1.0,0.6675099997468418,0.6328111946532999,3,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.3,0.614121319713425,0.5373381370091896,3,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.03,0.5977870813397129,0.523271246297562,3,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.01,0.5851624009518747,0.5638167388167389,3,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.1,0.5844677982835877,0.5334586466165413,3,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.003,0.5792448292448292,0.5628066378066379,3,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.1,0.5768412143412144,0.44996836496836495,3,1,TG10_SHARED_RIDGE_BALANCED
0.03,0.576123876123876,0.4708474858474858,3,1,TG10_SHARED_RIDGE_BALANCED
1.0,0.5648934398934399,0.43759407259407257,3,1,TG10_SHARED_RIDGE_BALANCED
3.0,0.5623934398934399,0.44009407259407257,3,1,TG10_SHARED_RIDGE_BALANCED
0.3,0.559464146964147,0.44884948384948387,3,1,TG10_SHARED_RIDGE_BALANCED
0.01,0.5537049062049063,0.46155844155844156,3,1,TG10_SHARED_RIDGE_BALANCED
