C,l1_ratio,inner_pairwise,inner_p10,repeat,fold
0.03,0.5,0.5474177341501902,0.5123148148148148,1,0
0.3,0.5,0.5391592406943284,0.4249317738791423,1,0
0.03,0.75,0.5321399563724125,0.4928703703703704,1,0
0.03,1.0,0.5202499883969182,0.49284031838856396,1,0
1.0,0.75,0.5391952102478418,0.4637037037037037,1,1
0.3,0.5,0.5351991088833195,0.4766666666666666,1,1
0.1,0.25,0.5217244500139238,0.48185185185185186,1,1
0.3,0.75,0.5210178223336117,0.45555555555555555,1,1
1.0,1.0,0.5162419938735727,0.43425925925925923,1,1
0.03,0.25,0.5160644667223615,0.5005555555555555,1,1
0.1,1.0,0.5129664438874966,0.45259676970203283,1,1
1.0,0.5,0.5106864383180172,0.41648148148148145,1,1
0.1,0.75,0.5103870788081314,0.4909259259259259,1,1
0.1,0.5,0.5103139793929268,0.47833333333333333,1,1
0.03,0.5,0.5089981899192425,0.4341214146477304,1,1
0.3,0.25,0.5034495962127541,0.4375925925925926,1,1
0.3,1.0,0.48775758841548317,0.43148148148148147,1,1
0.03,0.75,0.4825118351434141,0.4668664717348928,1,1
1.0,0.25,0.4692512531328321,0.38435185185185183,1,1
0.03,1.0,0.44725181008075743,0.3770627958785853,1,1
0.03,1.0,0.5010761858349577,0.473641975308642,1,2
0.03,0.75,0.4963450292397661,0.4687719298245614,1,2
0.03,0.5,0.460891812865497,0.3977777777777778,1,2
0.1,0.25,0.46057504873294347,0.3698148148148148,1,2
0.1,1.0,0.4468689083820662,0.38805555555555554,1,2
0.1,0.5,0.4408382066276803,0.3531481481481481,1,2
1.0,0.25,0.43359324236517216,0.3421604938271605,1,2
0.3,0.5,0.42738791423001954,0.32870370370370366,1,2
0.03,0.25,0.4270711500974659,0.35962962962962963,1,2
0.3,0.25,0.4268762183235868,0.327037037037037,1,2
0.1,0.75,0.4212841130604288,0.36287037037037034,1,2
1.0,0.5,0.41875406107862245,0.3310493827160494,1,2
0.3,0.75,0.4084551656920078,0.3253703703703703,1,2
1.0,0.75,0.40167316439246264,0.31623456790123455,1,2
0.3,1.0,0.4012426900584795,0.3383333333333333,1,2
1.0,1.0,0.3986029889538662,0.2951234567901235,1,2
0.3,0.75,0.5837110136452242,0.4899122807017544,1,3
1.0,1.0,0.5786671539961014,0.4820175438596491,1,3
0.3,0.5,0.5705531189083821,0.47412280701754383,1,3
0.3,1.0,0.5663864522417154,0.4728070175438596,1,3
1.0,0.75,0.5594420077972709,0.4714912280701754,1,3
0.1,0.75,0.5442251461988303,0.4647368421052631,1,3
1.0,0.25,0.5430921052631579,0.443859649122807,1,3
0.1,1.0,0.5411445279866333,0.4618421052631579,1,3
1.0,0.5,0.540095029239766,0.4473684210526316,1,3
0.3,0.25,0.5398026315789474,0.4570175438596491,1,3
