feature_set,repeat,n_subjects,macro_pairwise,subject_hit_rate,median_sep
YONGSHIN,6,23,0.616735679779158,0.7391304347826086,0.572615601044761
YONGSHIN,7,23,0.5532091097308489,0.5652173913043478,0.3157040623111974
YONGSHIN,8,23,0.6072463768115942,0.6956521739130435,0.3749402013671027
YONGSHIN,9,23,0.49354727398205656,0.5652173913043478,0.2602742198570699
YONGSHIN,10,23,0.5715665976535541,0.6956521739130435,0.3524267083692858
YONGSHIN,11,23,0.5102139406487233,0.5652173913043478,0.4072620554547013
YONGSHIN,12,23,0.6433057280883367,0.6086956521739131,0.558578255840065
YONGSHIN,13,23,0.5073153899240855,0.6086956521739131,0.25313663981568224
YONGSHIN,14,23,0.5447550034506555,0.5652173913043478,0.26919779455910087
YONGSHIN,15,23,0.5401656314699793,0.6086956521739131,0.33515364801121444
YONGSHIN,16,23,0.5976535541752933,0.7391304347826086,0.5686242185591066
YONGSHIN,17,23,0.610455486542443,0.6956521739130435,0.5781503149356225
YONGSHIN,18,23,0.5759144237405107,0.6521739130434783,0.2833686380515603
YONGSHIN,19,23,0.5973429951690822,0.6956521739130435,0.4861354349595507
YONGSHIN,20,23,0.5329192546583851,0.6086956521739131,0.4076782350709611
YONGSHIN,21,23,0.5722912353347136,0.6521739130434783,0.37349726123038174
YONGSHIN,22,23,0.6300207039337474,0.7391304347826086,0.5111755411275203
YONGSHIN,23,23,0.5416149068322981,0.6521739130434783,0.4838920748206874
YONGSHIN,24,23,0.6654589371980676,0.7391304347826086,0.5812355714283661
YONGSHIN,25,23,0.5350931677018633,0.5652173913043478,0.027145797136779615
YONGSHIN,26,23,0.49958592132505175,0.6086956521739131,0.5275971564434782
YONGSHIN,27,23,0.5870255348516218,0.6086956521739131,0.4235909757181149
YONGSHIN,28,23,0.573015873015873,0.6956521739130435,0.7881162568161075
YONGSHIN,29,23,0.5691511387163561,0.6521739130434783,0.15974837571315537
YONGSHIN,30,23,0.5801932367149758,0.6956521739130435,0.4826239450852957
YONGSHIN,31,23,0.5193926846100758,0.6521739130434783,0.16314512106426515
YONGSHIN,32,23,0.5218081435472739,0.5217391304347826,0.08741190914501362
YONGSHIN,33,23,0.6384748102139407,0.6956521739130435,0.5730954578399832
YONGSHIN,34,23,0.5870255348516218,0.6521739130434783,0.6004485111024858
YONGSHIN,35,23,0.6039337474120083,0.6956521739130435,0.3166455233397807
YONGSHIN,36,23,0.6075569358178055,0.6521739130434783,0.4974642981669315
YONGSHIN,37,23,0.5232574189095928,0.5217391304347826,0.08600350967689518
YONGSHIN,38,23,0.5539337474120083,0.6086956521739131,0.42475588351379523
YONGSHIN,39,23,0.48968253968253966,0.5652173913043478,0.23477654822661842
YONGSHIN,40,23,0.5012767425810903,0.4782608695652174,-0.09389540745804625
YONGSHIN,41,23,0.5925810904071774,0.6956521739130435,0.8123668959155232
YONGSHIN,42,23,0.6708419599723948,0.8260869565217391,0.5960031966789053
YONGSHIN,43,23,0.5133540372670808,0.6086956521739131,0.36438964709770216
YONGSHIN,44,23,0.631159420289855,0.6956521739130435,0.5167294811284142
YONGSHIN,45,23,0.5230158730158729,0.6086956521739131,0.21931114804869523
YONGSHIN,46,23,0.6283298826777086,0.782608695652174,0.7185685148167691
YONGSHIN,47,23,0.6186680469289165,0.6956521739130435,0.6704389323961213
YONGSHIN,48,23,0.5481366459627329,0.6956521739130435,0.5267871400391675
YONGSHIN,49,23,0.48944099378881983,0.6086956521739131,0.24479063606347984
UNSEONG,0,23,0.561456176673568,0.5652173913043478,0.13300239822327123
UNSEONG,1,23,0.45300207039337476,0.4782608695652174,-0.03780947099278531
UNSEONG,2,23,0.49503105590062113,0.4782608695652174,-0.1053533233012769
UNSEONG,3,23,0.5517943409247758,0.6086956521739131,0.9051319680745695
