C,inner_macro,inner_p10,repeat,fold,model,kind,l1_ratio
1.0,0.5885164835164836,0.5586776556776556,0,3,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.25
0.3,0.586849816849817,0.5635860805860806,0,3,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.25
1.0,0.5845115995115996,0.49244688644688644,0,3,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.5
0.1,0.4287881562881563,0.34394871794871795,0,3,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.75
0.03,0.3898168498168498,0.3086080586080586,0,3,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.25
0.1,0.2918009768009768,0.2764652014652015,0,3,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,1.0
0.03,0.0,0.0,0,3,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.5
0.03,0.0,0.0,0,3,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.75
0.03,0.0,0.0,0,3,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,1.0
3.0,0.6033247863247864,0.5349758241758242,0,4,TG10_RIDGE_DIAGNOSTIC,ASTRO,
0.03,0.6006715506715506,0.5633333333333332,0,4,TG10_RIDGE_DIAGNOSTIC,ASTRO,
1.0,0.5720335775335775,0.535701098901099,0,4,TG10_RIDGE_DIAGNOSTIC,ASTRO,
0.1,0.5460268620268619,0.5362637362637362,0,4,TG10_RIDGE_DIAGNOSTIC,ASTRO,
0.3,0.5230549450549451,0.5018520146520147,0,4,TG10_RIDGE_DIAGNOSTIC,ASTRO,
0.1,0.7018650793650795,0.6678571428571428,0,4,TG10_RIDGE_DIAGNOSTIC,NPLUS,
0.03,0.6984920634920635,0.6607619047619048,0,4,TG10_RIDGE_DIAGNOSTIC,NPLUS,
0.3,0.6717399267399268,0.6403809523809524,0,4,TG10_RIDGE_DIAGNOSTIC,NPLUS,
3.0,0.6523119658119659,0.6133967032967034,0,4,TG10_RIDGE_DIAGNOSTIC,NPLUS,
1.0,0.6335360195360196,0.6129054945054946,0,4,TG10_RIDGE_DIAGNOSTIC,NPLUS,
3.0,0.4788638583638583,0.45966117216117214,0,4,ALL_ORTHODOX_RIDGE_AUTO,ASTRO,
0.03,0.4663180708180708,0.41847655677655676,0,4,ALL_ORTHODOX_RIDGE_AUTO,ASTRO,
1.0,0.46461477411477414,0.4513421245421245,0,4,ALL_ORTHODOX_RIDGE_AUTO,ASTRO,
0.3,0.46318620268620264,0.45048498168498163,0,4,ALL_ORTHODOX_RIDGE_AUTO,ASTRO,
0.1,0.43879059829059824,0.4124838827838828,0,4,ALL_ORTHODOX_RIDGE_AUTO,ASTRO,
0.3,0.6303565323565324,0.600741391941392,0,4,ALL_ORTHODOX_RIDGE_AUTO,NPLUS,
1.0,0.6289279609279609,0.592741391941392,0,4,ALL_ORTHODOX_RIDGE_AUTO,NPLUS,
3.0,0.6215042735042735,0.5628293040293041,0,4,ALL_ORTHODOX_RIDGE_AUTO,NPLUS,
0.1,0.6204603174603175,0.594047619047619,0,4,ALL_ORTHODOX_RIDGE_AUTO,NPLUS,
0.03,0.6024505494505495,0.5712476190476191,0,4,ALL_ORTHODOX_RIDGE_AUTO,NPLUS,
0.3,0.5306996336996338,0.4490912087912088,0,4,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,1.0
0.3,0.5247014652014652,0.48203992673992674,0,4,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.5
1.0,0.49478266178266167,0.4654593406593406,0,4,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,1.0
0.3,0.49180952380952386,0.4617523809523809,0,4,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.25
1.0,0.490112332112332,0.47426739926739925,0,4,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.25
1.0,0.48288705738705734,0.4734432234432234,0,4,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.5
1.0,0.48155921855921857,0.44067545787545787,0,4,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.75
0.3,0.47526617826617823,0.42452161172161174,0,4,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.75
0.1,0.4612631257631257,0.4258959706959707,0,4,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.5
0.1,0.4591916971916972,0.4042578754578755,0,4,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.25
0.1,0.23084920634920636,0.10577142857142859,0,4,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.75
0.03,0.02777777777777778,0.0,0,4,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.25
